species,gene_name,uniprot_id,fasta_accession,notes,,sequence identity
dog,,A0A0U2PLQ3,A0A0U2PLQ3_CANLF|protein,Files in cyp/dog_0,,
mouse,Cyp2a5,P20852,CP2A5_MOUSE|protein,Files in cyp/mouse_11,,
mouse,Cyp2c39,P56656,CP239_MOUSE|protein,Files in cyp/mouse_12,,
mouse,Cyp2e1,Q05421,CP2E1_MOUSE|protein,Files in cyp/mouse_13,,
mouse,Cyp1a1,Q05A20,Q05A20_MOUSE|protein,Files in cyp/mouse_14,,
mouse,Cyp7b1,Q60991,CP7B1_MOUSE|protein,Files in cyp/mouse_15,,
mouse,Cyp1b1,Q64429,CP1B1_MOUSE|protein,Files in cyp/mouse_16,,
mouse,Cyp7a1,Q64505,CP7A1_MOUSE|protein,Files in cyp/mouse_17,,
mouse,Cyp26b1,Q811W2,CP26B_MOUSE|protein,Files in cyp/mouse_18,,
mouse,Cyp4a12a,Q91WL5,CP4CA_MOUSE|protein,Files in cyp/mouse_19,,
mouse,Cyp2c50,Q91X77,CY250_MOUSE|protein,Files in cyp/mouse_20,,
mouse,Cyp4f3,Q99N16,CP4F3_MOUSE|protein,Files in cyp/mouse_21,,
mouse,Cyp2c55,Q9D816,CP255_MOUSE|protein,Files in cyp/mouse_22,,
mouse,Cyp2s1,Q9DBX6,CP2S1_MOUSE|protein,Files in cyp/mouse_23,,
mouse,Cyp2e1,A0A1B0GSV7,A0A1B0GSV7_MOUSE|protein,Files in cyp/mouse_24,,
mouse,Cyp4v3,B2RSR0,B2RSR0_MOUSE|protein,Files in cyp/mouse_25,,
mouse,Cyp2w1,E9Q816,CP2W1_MOUSE|protein,Files in cyp/mouse_26,,
mouse,Cyp2j5,O54749,CP2J5_MOUSE|protein,Files in cyp/mouse_27,,
mouse,Cyp2j6,O54750,CP2J6_MOUSE|protein,Files in cyp/mouse_28,,
mouse,Cyp2d9,P11714,CP2D9_MOUSE|protein,Files in cyp/mouse_29,,
mouse,Cyp2b9,P12790,CP2B9_MOUSE|protein,Files in cyp/mouse_30,,
mouse,Cyp2a4,P15392,CP2A4_MOUSE|protein,Files in cyp/mouse_31,,
mouse,Cyp2d10,P24456,CP2DA_MOUSE|protein,Files in cyp/mouse_32,,
mouse,Cyp2d11,P24457,CP2DB_MOUSE|protein,Files in cyp/mouse_33,,
mouse,Cyp2f2,P33267,CP2F2_MOUSE|protein,Files in cyp/mouse_34,,
mouse,Cyp2a12,P56593,CP2AC_MOUSE|protein,Files in cyp/mouse_35,,
mouse,Cyp2c37,P56654,CP237_MOUSE|protein,Files in cyp/mouse_36,,
mouse,Cyp2c38,P56655,CP238_MOUSE|protein,Files in cyp/mouse_37,,
mouse,Cyp2c40,P56657,CP240_MOUSE|protein,Files in cyp/mouse_38,,
mouse,Cyp4v3,Q3UC74,Q3UC74_MOUSE|protein,Files in cyp/mouse_39,,
mouse,Cyp2c29,Q64458,CP2CT_MOUSE|protein,Files in cyp/mouse_40,,
mouse,Cyp3a11,Q64459,CP3AB_MOUSE|protein,Files in cyp/mouse_41,,
mouse,Cyp4b1,Q64462,CP4B1_MOUSE|protein,Files in cyp/mouse_42,,
mouse,Cyp3a13,Q64464,CP3AD_MOUSE|protein,Files in cyp/mouse_43,,
mouse,Cyp2c54,Q6XVG2,CP254_MOUSE|protein,Files in cyp/mouse_44,,
mouse,Cyp2c70,Q91W64,CP270_MOUSE|protein,Files in cyp/mouse_45,,
mouse,Cyp2u1,Q9CX98,CP2U1_MOUSE|protein,Files in cyp/mouse_46,,
mouse,Cyp4v2,Q9DBW0,CP4V2_MOUSE|protein,Files in cyp/mouse_47,,
mouse,Cyp2d22,Q9JKY7,Q9JKY7_MOUSE|protein,Files in cyp/mouse_48,,
mouse,Cyp2d26,A0A0R4IZY2,A0A0R4IZY2_MOUSE|protein,Files in cyp/mouse_49,,
mouse,Cyp26a1,A0A0R4J061,A0A0R4J061_MOUSE|protein,Files in cyp/mouse_50,,
mouse,Cyp2b13,A6H6J2,A6H6J2_MOUSE|protein,Files in cyp/mouse_51,,
mouse,Cyp2a22,B2RXZ2,B2RXZ2_MOUSE|protein,Files in cyp/mouse_52,,
mouse,Cyp3a57,D3YYZ0,D3YYZ0_MOUSE|protein,Files in cyp/mouse_53,,
mouse,Cyp3a59,D3Z2W7,D3Z2W7_MOUSE|protein,Files in cyp/mouse_54,,
mouse,Cyp2b23,E9Q593,E9Q593_MOUSE|protein,Files in cyp/mouse_55,,
mouse,Cyp2d34,L7N463,L7N463_MOUSE|protein,Files in cyp/mouse_56,,
mouse,Cyp3a25,O09158,CP3AP_MOUSE|protein,Files in cyp/mouse_57,,
mouse,Cyp2b19,O55071,CP2BJ_MOUSE|protein,Files in cyp/mouse_58,,
mouse,Cyp3a16,Q64481,CP3AG_MOUSE|protein,Files in cyp/mouse_59,,
mouse,Cyp4x1,Q6A152,CP4X1_MOUSE|protein,Files in cyp/mouse_60,,
mouse,Cyp2d26,Q8CIM7,CP2DQ_MOUSE|protein,Files in cyp/mouse_61,,
mouse,Cyp2d22,Q91W87,Q91W87_MOUSE|protein,Files in cyp/mouse_62,,
mouse,Cyp3a44,Q9EQW4,Q9EQW4_MOUSE|protein,Files in cyp/mouse_63,,
mouse,Cyp3a41a,Q9JMA7,CP341_MOUSE|protein,Files in cyp/mouse_64,,
mouse,Cyp2b10,Q9WUD0,Q9WUD0_MOUSE|protein,Files in cyp/mouse_65,,
mouse,Cyp4a29,A0A087WPC3,A0A087WPC3_MOUSE|protein,Files in cyp/mouse_66,,
mouse,Cyp4a30b,A0A087WS15,A0A087WS15_MOUSE|protein,Files in cyp/mouse_67,,
mouse,Cyp26b1,A0A0N4SV88,A0A0N4SV88_MOUSE|protein,Files in cyp/mouse_68,,
mouse,Cyp8b1,A0A0R4J0N7,A0A0R4J0N7_MOUSE|protein,Files in cyp/mouse_69,,
mouse,Cyp2d10,A0A2R8VKK3,A0A2R8VKK3_MOUSE|protein,Files in cyp/mouse_70,,
mouse,Cyp39a1,A0A3B2W4C8,A0A3B2W4C8_MOUSE|protein,Files in cyp/mouse_71,,
mouse,Cyp39a1,A0A3B2WCK5,A0A3B2WCK5_MOUSE|protein,Files in cyp/mouse_72,,
mouse,Cyp4a32,A2A8T1,A2A8T1_MOUSE|protein,Files in cyp/mouse_73,,
mouse,Cyp4a10,A2A977,A2A977_MOUSE|protein,Files in cyp/mouse_74,,
mouse,Cyp4x1,A2A9Y7,A2A9Y7_MOUSE|protein,Files in cyp/mouse_75,,
mouse,Cyp4f39,A6H653,A6H653_MOUSE|protein,Files in cyp/mouse_76,,
mouse,Cyp4a12b,B0G0Y2,B0G0Y2_MOUSE|protein,Files in cyp/mouse_77,,
mouse,Cyp4f40,B2RY43,B2RY43_MOUSE|protein,Files in cyp/mouse_78,,
mouse,Cyp4f13,B8JK07,B8JK07_MOUSE|protein,Files in cyp/mouse_79,,
mouse,Cyp2s1,D3Z7F1,D3Z7F1_MOUSE|protein,Files in cyp/mouse_80,,
mouse,Cyp2t4,D3Z7F6,D3Z7F6_MOUSE|protein,Files in cyp/mouse_81,,
mouse,Cyp2t4,E9PWV0,E9PWV0_MOUSE|protein,Files in cyp/mouse_82,,
mouse,Cyp2c69,E9PXC3,E9PXC3_MOUSE|protein,Files in cyp/mouse_83,,
mouse,Cyp2c40,E9Q7C8,E9Q7C8_MOUSE|protein,Files in cyp/mouse_84,,
mouse,Cyp4a31,F8WGU9,F8WGU9_MOUSE|protein,Files in cyp/mouse_85,,
mouse,Cyp4f17,G3UW78,G3UW78_MOUSE|protein,Files in cyp/mouse_86,,
mouse,Cyp4f40,G3UW81,G3UW81_MOUSE|protein,Files in cyp/mouse_87,,
mouse,Cyp2b10,G3X8Q9,G3X8Q9_MOUSE|protein,Files in cyp/mouse_88,,
mouse,Cyp2c68,K7N6C2,K7N6C2_MOUSE|protein,Files in cyp/mouse_89,,
mouse,Cyp3a16,Q2KHL4,Q2KHL4_MOUSE|protein,Files in cyp/mouse_90,,
mouse,Cyp4b1,Q3TNA0,Q3TNA0_MOUSE|protein,Files in cyp/mouse_91,,
mouse,Cyp24a1,Q3TWW0,Q3TWW0_MOUSE|protein,Files in cyp/mouse_92,,
mouse,Cyp3a11,Q3UEN8,Q3UEN8_MOUSE|protein,Files in cyp/mouse_93,,
mouse,Cyp2d9,Q3UNW2,Q3UNW2_MOUSE|protein,Files in cyp/mouse_94,,
mouse,Cyp1b1,Q3UTK2,Q3UTK2_MOUSE|protein,Files in cyp/mouse_95,,
mouse,Cyp3a13,Q3UW87,Q3UW87_MOUSE|protein,Files in cyp/mouse_96,,
mouse,Cyp4f37,Q3V1F1,Q3V1F1_MOUSE|protein,Files in cyp/mouse_97,,
mouse,Cyp3a11,Q52L54,Q52L54_MOUSE|protein,Files in cyp/mouse_98,,
mouse,Cyp2c67,Q569X9,Q569X9_MOUSE|protein,Files in cyp/mouse_99,,
mouse,16aoh-b,Q64460,Q64460_MOUSE|protein,Files in cyp/mouse_100,,
mouse,Cyp27b1,Q66JY8,Q66JY8_MOUSE|protein,Files in cyp/mouse_101,,
mouse,Cyp1b1,Q80V82,Q80V82_MOUSE|protein,Files in cyp/mouse_102,,
mouse,Cyp4f39,Q8BGU0,Q8BGU0_MOUSE|protein,Files in cyp/mouse_103,,
mouse,Cyp20a1,Q8BKE6,CP20A_MOUSE|protein,Files in cyp/mouse_104,,
mouse,Cyp2d12,Q8BVD2,Q8BVD2_MOUSE|protein,Files in cyp/mouse_105,,
mouse,Cyp2c68,Q8VCP4,Q8VCP4_MOUSE|protein,Files in cyp/mouse_106,,
mouse,Cyp4a31,Q91WU1,Q91WU1_MOUSE|protein,Files in cyp/mouse_107,,
mouse,Cyp2a5,Q91X75,Q91X75_MOUSE|protein,Files in cyp/mouse_108,,
mouse,Cyp4f13,Q99KY6,Q99KY6_MOUSE|protein,Files in cyp/mouse_109,,
mouse,Cyp4f16,Q99N17,Q99N17_MOUSE|protein,Files in cyp/mouse_110,,
mouse,Cyp4f15,Q99N18,Q99N18_MOUSE|protein,Files in cyp/mouse_111,,
mouse,Cyp4f13,Q99N19,Q99N19_MOUSE|protein,Files in cyp/mouse_112,,
mouse,Cyp3a25,Q9QXK4,Q9QXK4_MOUSE|protein,Files in cyp/mouse_113,,
mouse,Cyp2g1,Q9WV19,Q9WV19_MOUSE|protein,Files in cyp/mouse_114,,
rat,Cyp1a2,A0A8I6AD25,A0A8I6AD25_RAT|protein,Files in cyp/rat_0,,
rat,Cyp1a2,A6J4X2,A6J4X2_RAT|protein,Files in cyp/rat_1,,
rat,Cyp1a1,A6J4X3,A6J4X3_RAT|protein,Files in cyp/rat_2,,
rat,Cyp26b1,G3V7X8,CP26B_RAT|protein,Files in cyp/rat_3,,
rat,Cyp2f2,O35293,CP2F2_RAT|protein,Files in cyp/rat_4,,
rat,Cyp2b1,P00176,CP2B1_RAT|protein,Files in cyp/rat_5,,
rat,Cyp1a1,P00185,CP1A1_RAT|protein,Files in cyp/rat_6,,
rat,Cyp2b2,P04167,CP2B2_RAT|protein,Files in cyp/rat_7,,
rat,Cyp1a2,P04799,CP1A2_RAT|protein,Files in cyp/rat_8,,
rat,Cyp3a1,P04800,CP3A1_RAT|protein,Files in cyp/rat_9,,
rat,Cyp2c6,P05178,CP2C6_RAT|protein,Files in cyp/rat_10,,
rat,Cyp2c7,P05179,CP2C7_RAT|protein,Files in cyp/rat_11,,
rat,Cyp2e1,P05182,CP2E1_RAT|protein,Files in cyp/rat_12,,
rat,Cyp3a2,P05183,CP3A2_RAT|protein,Files in cyp/rat_13,,
rat,Cyp4a10,P08516,CP4AA_RAT|protein,Files in cyp/rat_14,,
rat,Cyp2c11,P08683,CP2CB_RAT|protein,Files in cyp/rat_15,,
rat,Cyp2d1,P10633,CP2D1_RAT|protein,Files in cyp/rat_16,,
rat,Cyp2d26,P10634,CP2DQ_RAT|protein,Files in cyp/rat_17,,
rat,Cyp2a1,P11711,CP2A1_RAT|protein,Files in cyp/rat_18,,
rat,Cyp2d3,P12938,CP2D3_RAT|protein,Files in cyp/rat_19,,
rat,Cyp2d10,P12939,CP2DA_RAT|protein,Files in cyp/rat_20,,
rat,Cyp2b3,P13107,CP2B3_RAT|protein,Files in cyp/rat_21,,
rat,Cyp4b1,P15129,CP4B1_RAT|protein,Files in cyp/rat_22,,
rat,Cyp2a2,P15149,CP2A2_RAT|protein,Files in cyp/rat_23,,
rat,Cyp11b1,P15393,C11B1_RAT|protein,Files in cyp/rat_24,,
rat,Cyp7a1,P18125,CP7A1_RAT|protein,Files in cyp/rat_25,,
rat,Cyp2a3,P20812,CP2A3_RAT|protein,Files in cyp/rat_26,,
rat,Cyp2c13,P20814,CP2CD_RAT|protein,Files in cyp/rat_27,,
rat,Cyp4a2,P20816,CP4A2_RAT|protein,Files in cyp/rat_28,,
rat,Cyp4a14,P20817,CP4AE_RAT|protein,Files in cyp/rat_29,,
rat,Cyp4a12,P24464,CP4AC_RAT|protein,Files in cyp/rat_30,,
rat,Cyp2c23,P24470,CP2CN_RAT|protein,Files in cyp/rat_31,,
rat,Cyp11b2,P30099,C11B2_RAT|protein,Files in cyp/rat_32,,
rat,Cyp11b3,P30100,C11B3_RAT|protein,Files in cyp/rat_33,,
rat,Cyp4f1,P33274,CP4F1_RAT|protein,Files in cyp/rat_34,,
rat,Cyp3a9,P51538,CP3A9_RAT|protein,Files in cyp/rat_35,,
rat,Cyp4f4,P51869,CP4F4_RAT|protein,Files in cyp/rat_36,,
rat,Cyp1b1,Q64678,CP1B1_RAT|protein,Files in cyp/rat_37,,
rat,Cyp2d4,Q64680,CP2D4_RAT|protein,Files in cyp/rat_38,,
rat,Cyp1a1,Q80UE2,Q80UE2_RAT|protein,Files in cyp/rat_39,,
rat,CYP2J4,Q9QXF7,CP2J4_RAT|protein,Files in cyp/rat_40,,
rat,Cyp2e1,A0A0G2K5X9,A0A0G2K5X9_RAT|protein,Files in cyp/rat_41,,
rat,Cyp2w1,A0A0G2KAI3,A0A0G2KAI3_RAT|protein,Files in cyp/rat_42,,
rat,Cyp2e1,A0A8I5ZS79,A0A8I5ZS79_RAT|protein,Files in cyp/rat_43,,
rat,Cyp2e1,A0A8I5ZXI6,A0A8I5ZXI6_RAT|protein,Files in cyp/rat_44,,
rat,Cyp2e1,A0A8L2Q8J4,A0A8L2Q8J4_RAT|protein,Files in cyp/rat_45,,
rat,Cyp4v2,A2RRT9,CP4V2_RAT|protein,Files in cyp/rat_46,,
rat,Cyp2e1,A6HXJ0,A6HXJ0_RAT|protein,Files in cyp/rat_47,,
rat,Cyp26a1,A6I173,A6I173_RAT|protein,Files in cyp/rat_48,,
rat,Cyp2s1,A6J991,A6J991_RAT|protein,Files in cyp/rat_49,,
rat,Cyp26a1,G3V861,G3V861_RAT|protein,Files in cyp/rat_50,,
rat,Cyp2g1,P10610,CP2G1_RAT|protein,Files in cyp/rat_51,,
rat,Cyp2c12,P11510,CP2CC_RAT|protein,Files in cyp/rat_52,,
rat,Cyp2c70,P19225,CP270_RAT|protein,Files in cyp/rat_53,,
rat,Cyp2b12,P33272,CP2BC_RAT|protein,Files in cyp/rat_54,,
rat,Cyp2j3,P51590,CP2J3_RAT|protein,Files in cyp/rat_55,,
rat,Cyp26a1,Q2PMW7,Q2PMW7_RAT|protein,Files in cyp/rat_56,,
rat,Cyp26a1,Q304P5,Q304P5_RAT|protein,Files in cyp/rat_57,,
rat,Cyp4f3,Q3MID2,CP4F3_RAT|protein,Files in cyp/rat_58,,
rat,Cyp2u1,Q4V8D1,CP2U1_RAT|protein,Files in cyp/rat_59,,
rat,Cyp3a18,Q64581,CP3AI_RAT|protein,Files in cyp/rat_60,,
rat,Cyp26a1,Q8VIL0,Q8VIL0_RAT|protein,Files in cyp/rat_61,,
rat,Cyp3a62,A0A0G2K5K4,A0A0G2K5K4_RAT|protein,Files in cyp/rat_62,,
rat,Cyp2b1,F7FBM8,A0A0G2K5S9_RAT|protein,Files in cyp/rat_63,,
rat,LOC103691092,A0A8I5ZZ08,A0A8I5ZZ08_RAT|protein,Files in cyp/rat_64,,
rat,Cyp2r1,A0A8I6GHN7,A0A8I6GHN7_RAT|protein,Files in cyp/rat_65,,
rat,Cyp2u1,A0A8L2UPN4,A0A8L2UPN4_RAT|protein,Files in cyp/rat_66,,
rat,Cyp27b1,A6HQR8,A6HQR8_RAT|protein,Files in cyp/rat_67,,
rat,Cyp2c11,A6I196,A6I196_RAT|protein,Files in cyp/rat_68,,
rat,Cyp2b21,A6J9A0,A6J9A0_RAT|protein,Files in cyp/rat_69,,
rat,Cyp3a62,A6K211,A6K211_RAT|protein,Files in cyp/rat_70,,
rat,Cyp2s1,D4A820,D4A820_RAT|protein,Files in cyp/rat_71,,
rat,Cyp2c55,F1LM03,F1LM03_RAT|protein,Files in cyp/rat_72,,
rat,Cyp2b14,F1LT33,F1LT33_RAT|protein,Files in cyp/rat_73,,
rat,Cyp2ac1,F1LXA4,F1LXA4_RAT|protein,Files in cyp/rat_74,,
rat,Cyp2b15,F1M6Z6,F1M6Z6_RAT|protein,Files in cyp/rat_75,,
rat,Cyp3a62,F7F0U1,F7F0U1_RAT|protein,Files in cyp/rat_76,,
rat,Cyp2b21,G3V9D2,G3V9D2_RAT|protein,Files in cyp/rat_77,,
rat,Cyp27b1,M0R3V1,M0R3V1_RAT|protein,Files in cyp/rat_78,,
rat,Cyp2c55,P33273,CP255_RAT|protein,Files in cyp/rat_79,,
rat,Cyp4f5,P51870,CP4F5_RAT|protein,Files in cyp/rat_80,,
rat,Cyp4f6,P51871,CP4F6_RAT|protein,Files in cyp/rat_81,,
rat,Cyp3a23-3a1,Q06884,Q06884_RAT|protein,Files in cyp/rat_82,,
rat,Cyp3a9,Q5PQX2,Q5PQX2_RAT|protein,Files in cyp/rat_83,,
rat,Cyp2b15,Q64583,CP2BF_RAT|protein,Files in cyp/rat_84,,
rat,Cyp3a62,Q8CJF2,Q8CJF2_RAT|protein,Files in cyp/rat_85,,
rat,Cyp4x1,Q8K4D6,CP4X1_RAT|protein,Files in cyp/rat_86,,
rat,Cyp2b21,Q9JJ02,Q9JJ02_RAT|protein,Files in cyp/rat_87,,
rat,Cyp2d1,A0A0G2JSU8,A0A0G2JSU8_RAT|protein,Files in cyp/rat_88,,
rat,,A0A0G2JT98,A0A0G2JT98_RAT|protein,Files in cyp/rat_89,,
rat,Cyp2a3,A0A0G2JXU4,A0A0G2JXU4_RAT|protein,Files in cyp/rat_90,,
rat,Cyp2d1,A0A0G2K0N7,A0A0G2K0N7_RAT|protein,Files in cyp/rat_91,,
rat,Cyp2a2,A0A0G2K193,A0A0G2K193_RAT|protein,Files in cyp/rat_92,,
rat,Cyp4f18,A0A0G2K1T1,A0A0G2K1T1_RAT|protein,Files in cyp/rat_93,,
rat,Cyp4f1,A0A0G2K3K4,A0A0G2K3K4_RAT|protein,Files in cyp/rat_94,,
rat,Cyp2a1,A0A0G2KAX4,A0A0G2KAX4_RAT|protein,Files in cyp/rat_95,,
rat,Cyp27a1,A0A0H2UHN7,A0A0H2UHN7_RAT|protein,Files in cyp/rat_96,,
rat,Cyp4f39,A0A1W2Q6E6,A0A1W2Q6E6_RAT|protein,Files in cyp/rat_97,,
rat,Cyp4f5,A6K954,A0A1W2Q6H4_RAT|protein,Files in cyp/rat_98,,
rat,Cyp3a18,A0A8I5YC28,A0A8I5YC28_RAT|protein,Files in cyp/rat_99,,
rat,Cyp2c13,A0A8I5ZKW5,A0A8I5ZKW5_RAT|protein,Files in cyp/rat_100,,
rat,,A0A8I5ZL64,A0A8I5ZL64_RAT|protein,Files in cyp/rat_101,,
rat,,A0A8I5ZLX8,A0A8I5ZLX8_RAT|protein,Files in cyp/rat_102,,
rat,Cyp3a23-3a1,A0A8I5ZUW6,A0A8I5ZUW6_RAT|protein,Files in cyp/rat_103,,
rat,Cyp2d5,A0A8I5ZWE8,A0A8I5ZWE8_RAT|protein,Files in cyp/rat_104,,
rat,Cyp20a1,A0A8I5ZX09,A0A8I5ZX09_RAT|protein,Files in cyp/rat_105,,
rat,,A0A8I6A0P6,A0A8I6A0P6_RAT|protein,Files in cyp/rat_106,,
rat,,A0A8I6A1G5,A0A8I6A1G5_RAT|protein,Files in cyp/rat_107,,
rat,Cyp24a1,A0A8I6A8M6,A0A8I6A8M6_RAT|protein,Files in cyp/rat_108,,
rat,,A0A8I6A8W9,A0A8I6A8W9_RAT|protein,Files in cyp/rat_109,,
rat,Cyp3a9,A0A8I6AFH9,A0A8I6AFH9_RAT|protein,Files in cyp/rat_110,,
rat,Cyp26b1,A0A8I6AMJ8,A0A8I6AMJ8_RAT|protein,Files in cyp/rat_111,,
rat,Cyp11b1,A0A8I6AMK4,A0A8I6AMK4_RAT|protein,Files in cyp/rat_112,,
rat,Cyp3a73,A0A8I6AR85,A0A8I6AR85_RAT|protein,Files in cyp/rat_113,,
rat,Cyp2b2,A0A8I6GGX5,A0A8I6GGX5_RAT|protein,Files in cyp/rat_114,,
rat,Cyp4a3,A0A8I6GLR5,A0A8I6GLR5_RAT|protein,Files in cyp/rat_115,,
rat,Cyp4f17,A0A8J8Y394,A0A8J8Y394_RAT|protein,Files in cyp/rat_116,,
rat,Cyp2g1,A0A8L2QF71,A0A8L2QF71_RAT|protein,Files in cyp/rat_117,,
rat,Cyp2d3,A0A8L2QP93,A0A8L2QP93_RAT|protein,Files in cyp/rat_118,,
rat,Cyp4f6,A0A8L2QSB3,A0A8L2QSB3_RAT|protein,Files in cyp/rat_119,,
rat,Cyp4f4,A0A8L2ULC7,A0A8L2ULC7_RAT|protein,Files in cyp/rat_120,,
rat,Cyp2c12,A0A9K3Y6X0,A0A9K3Y6X0_RAT|protein,Files in cyp/rat_121,,
rat,Cyp3a9,A0A9K3Y7I1,A0A9K3Y7I1_RAT|protein,Files in cyp/rat_122,,
rat,Cyp2d4,A6HT70,A6HT70_RAT|protein,Files in cyp/rat_123,,
rat,Cyp2d1,A6HT74,A6HT74_RAT|protein,Files in cyp/rat_124,,
rat,Cyp2d3,A6HT75,A6HT75_RAT|protein,Files in cyp/rat_125,,
rat,Cyp2d2,A6HT76,A6HT76_RAT|protein,Files in cyp/rat_126,,
rat,Cyp8b1,A6I465,A6I465_RAT|protein,Files in cyp/rat_127,,
rat,Cyp20a1,A6IPC5,A6IPC5_RAT|protein,Files in cyp/rat_128,,
rat,Cyp19a1,A6J4K7,A6J4K7_RAT|protein,Files in cyp/rat_129,,
rat,Cyp2b3,A6J997,A6J997_RAT|protein,Files in cyp/rat_130,,
rat,Cyp2b3,A6J998,A6J998_RAT|protein,Files in cyp/rat_131,,
rat,,A6J9A1,A6J9A1_RAT|protein,Files in cyp/rat_132,,
rat,Cyp2g1,A6J9A3,A6J9A3_RAT|protein,Files in cyp/rat_133,,
rat,Cyp2a1,A6J9A5,A6J9A5_RAT|protein,Files in cyp/rat_134,,
rat,Cyp2a2,A6J9A6,A6J9A6_RAT|protein,Files in cyp/rat_135,,
rat,Cyp2c22,A6JH55,A6JH55_RAT|protein,Files in cyp/rat_136,,
rat,Cyp39a1_predicted,A6JJ26,A6JJ26_RAT|protein,Files in cyp/rat_137,,
rat,Cyp24a1,A6JXS6,A6JXS6_RAT|protein,Files in cyp/rat_138,,
rat,Cyp4x1,A6JZ35,A6JZ35_RAT|protein,Files in cyp/rat_139,,
rat,Cyp4x1,A6JZ36,A6JZ36_RAT|protein,Files in cyp/rat_140,,
rat,Cyp4a3,A6JZ41,A6JZ41_RAT|protein,Files in cyp/rat_141,,
rat,Cyp4b1,A6JZ44,A6JZ44_RAT|protein,Files in cyp/rat_142,,
rat,Cyp3a18,A6K1D6,A6K1D6_RAT|protein,Files in cyp/rat_143,,
rat,Cyp3a2,A6K1D7,A6K1D7_RAT|protein,Files in cyp/rat_144,,
rat,Cyp4f5,A6K954,A6K954_RAT|protein,Files in cyp/rat_145,,
rat,Cyp4f4,A6K957,A6K957_RAT|protein,Files in cyp/rat_146,,
rat,Cyp4f4,A6K958,A6K958_RAT|protein,Files in cyp/rat_147,,
rat,Cyp4f1,A6K970,A6K970_RAT|protein,Files in cyp/rat_148,,
rat,Cyp4f18,A6K9R0,A6K9R0_RAT|protein,Files in cyp/rat_149,,
rat,Cyp2b1,B2GV28,B2GV28_RAT|protein,Files in cyp/rat_150,,
rat,Cyp2c22,B5AMZ7,B5AMZ7_RAT|protein,Files in cyp/rat_151,,
rat,Cyp4a3,D3ZHZ6,D3ZHZ6_RAT|protein,Files in cyp/rat_152,,
rat,Cyp4a3,D3ZJX6,D3ZJX6_RAT|protein,Files in cyp/rat_153,,
rat,Cyp4f40,D3ZTC9,D3ZTC9_RAT|protein,Files in cyp/rat_154,,
rat,,D4A1H9,D4A1H9_RAT|protein,Files in cyp/rat_155,,
rat,Cyp26c1,D4AAL3,D4AAL3_RAT|protein,Files in cyp/rat_156,,
rat,Cyp4f17,D4AB65,D4AB65_RAT|protein,Files in cyp/rat_157,,
rat,Cyp39a1,D4AE09,D4AE09_RAT|protein,Files in cyp/rat_158,,
rat,Cyp2b12,F1LMN1,F1LMN1_RAT|protein,Files in cyp/rat_159,,
rat,Cyp20a1,F1LSK6,F1LSK6_RAT|protein,Files in cyp/rat_160,,
rat,Cyp4f18,F1M7K8,F1M7K8_RAT|protein,Files in cyp/rat_161,,
rat,Cyp4a2,F1M7X1,F1M7X1_RAT|protein,Files in cyp/rat_162,,
rat,Cyp4f37,F7F0Y6,F7F0Y6_RAT|protein,Files in cyp/rat_163,,
rat,Cyp4f1,F7F3E1,F7F3E1_RAT|protein,Files in cyp/rat_164,,
rat,Cyp2b1,F7FBM8,F7FBM8_RAT|protein,Files in cyp/rat_165,,
rat,Cyp2d5,F7FD56,F7FD56_RAT|protein,Files in cyp/rat_166,,
rat,Cyp2c23,F7FDG2,F7FDG2_RAT|protein,Files in cyp/rat_167,,
rat,Cyp3a18,G3V635,G3V635_RAT|protein,Files in cyp/rat_168,,
rat,Cyp8b1,G3V8J2,G3V8J2_RAT|protein,Files in cyp/rat_169,,
rat,Cyp4a2l1,H7C5X2,H7C5X2_RAT|protein,Files in cyp/rat_170,,
rat,Cyp3a73,M0R6M9,M0R6M9_RAT|protein,Files in cyp/rat_171,,
rat,Cyp2c13,M0RD38,M0RD38_RAT|protein,Files in cyp/rat_172,,
rat,Cyp2c13,Q5I0P5,Q5I0P5_RAT|protein,Files in cyp/rat_173,,
rat,Cyp2d5,Q5I0P9,Q5I0P9_RAT|protein,Files in cyp/rat_174,,
rat,Cyp2c12,Q64648,Q64648_RAT|protein,Files in cyp/rat_175,,
rat,Cyp2c23,Q68G40,Q68G40_RAT|protein,Files in cyp/rat_176,,
rat,Cyp3a23-3a1,Q6LEQ2,Q6LEQ2_RAT|protein,Files in cyp/rat_177,,
rat,Cyp20a1,Q6P7D4,CP20A_RAT|protein,Files in cyp/rat_178,,
rat,Cyp4f37,Q9EQ70,Q9EQ70_RAT|protein,Files in cyp/rat_179,,
rat,Cyp20a1,A0A8I6A981,A0A8I6A981_RAT|protein,Files in cyp/rat_180,,
rat,Cyp4f4,A6K959,A6K959_RAT|protein,Files in cyp/rat_181,,
macaca_fascicularis,CYP1A2,A0A2K5U801,A0A2K5U801_MACFA|protein,Files in cyp/macaca_fascicularis_0,,
macaca_fascicularis,CYP1A1,A0A2K5VAK7,A0A2K5VAK7_MACFA|protein,Files in cyp/macaca_fascicularis_1,,
macaca_fascicularis,CYP2E1,A0A2K5VM26,A0A2K5VM26_MACFA|protein,Files in cyp/macaca_fascicularis_2,,
macaca_fascicularis,CYP2E1,A0A2K5VM43,A0A2K5VM43_MACFA|protein,Files in cyp/macaca_fascicularis_3,,
